kum	 verb-pres 	kum	Intransitive:    (archaic) To die ; Compare 'gum
mthong	 verb-past 	mthong	Transitive:  Involuntary:   1. To see, view. 2. To witness, observe (mentally). 3. (colloquial) To experience, endure ; 1. To see. 2. To comprehend ; 1. To see, know with the eyes. 2. To experience ; To see, know, appear ;
mthong	 verb-fut 	mthong	Transitive:  Involuntary:   1. To see, view. 2. To witness, observe (mentally). 3. (colloquial) To experience, endure ; 1. To see. 2. To comprehend ; 1. To see, know with the eyes. 2. To experience ; To see, know, appear ;
mthol	 verb-pres 	mthol	Transitive:  Involuntary:   To confess ; To reveal, come outward, confess ; To tell ones faults openly ; 1. To announce, proclaim, speak not secretly. 2. To speak openly about faults ;
mthol(d)	 verb-past 	mthol	Transitive:  Involuntary:   To confess ; To reveal, come outward, confess ; To tell ones faults openly ; 1. To announce, proclaim, speak not secretly. 2. To speak openly about faults ;
mthol	 verb-fut 	mthol	Transitive:  Involuntary:   To confess ; To reveal, come outward, confess ; To tell ones faults openly ; 1. To announce, proclaim, speak not secretly. 2. To speak openly about faults ;
'thag	 verb-pres 	'thag	Transitive:  Voluntary:   1. To grind, crush. 2. To weave ; To weave, grind ; To produce cotton cloth, silk cloth, woolen cloth &c. from threads of wool, flax, cotton, silk, &c ; 1. To destroy. 2. To make fine. 3. To weave cotton &c. ; To attach ;
btags	 verb-past 	'thag	Transitive:  Voluntary:   1. To grind, crush. 2. To weave ; To weave, grind ; To produce cotton cloth, silk cloth, woolen cloth &c. from threads of wool, flax, cotton, silk, &c ; 1. To destroy. 2. To make fine. 3. To weave cotton &c. ; To attach ;
btag	 verb-fut 	'thag	Transitive:  Voluntary:   1. To grind, crush. 2. To weave ; To weave, grind ; To produce cotton cloth, silk cloth, woolen cloth &c. from threads of wool, flax, cotton, silk, &c ; 1. To destroy. 2. To make fine. 3. To weave cotton &c. ; To attach ;
'thag	 verb-pres 	'thag	Intransitive:  Involuntary:   To reduce by boiling ; To dry up, dry out ;
'thag	 verb-past 	'thag	Intransitive:  Involuntary:   To reduce by boiling ; To dry up, dry out ;
'thag	 verb-fut 	'thag	Intransitive:  Involuntary:   To reduce by boiling ; To dry up, dry out ;
'thad	 verb-pres 	'thad	Intransitive:  Involuntary:   To be delightful, pleasant, agreeable, well pleasing. 2. (not governing a case) To please, to be acceptable, to be considered as good, to be (generally) admitted ; To be delightful, to be pleasant, agreeable ; 1. To come to a unanimous decision. 2. To want, desire. 3. To be alright, suitable. 4. To be in harmony, to accord ; To be alright, suitable, allowed. 2. To want, desire, like, enjoy ;
'thad	 verb-past 	'thad	Intransitive:  Involuntary:   To be delightful, pleasant, agreeable, well pleasing. 2. (not governing a case) To please, to be acceptable, to be considered as good, to be (generally) admitted ; To be delightful, to be pleasant, agreeable ; 1. To come to a unanimous decision. 2. To want, desire. 3. To be alright, suitable. 4. To be in harmony, to accord ; To be alright, suitable, allowed. 2. To want, desire, like, enjoy ;
'thad	 verb-fut 	'thad	Intransitive:  Involuntary:   To be delightful, pleasant, agreeable, well pleasing. 2. (not governing a case) To please, to be acceptable, to be considered as good, to be (generally) admitted ; To be delightful, to be pleasant, agreeable ; 1. To come to a unanimous decision. 2. To want, desire. 3. To be alright, suitable. 4. To be in harmony, to accord ; To be alright, suitable, allowed. 2. To want, desire, like, enjoy ;
'thab	 verb-pres 	'thab	Transitive:  Voluntary:   To fight, quarrel, dispute, brawl ; To fight, struggle ; 1. To brawl, fight, argue. 2. To strive, exert ; 1. To fight. 2. To balance a budget ;
'thab	 verb-past 	'thab	Transitive:  Voluntary:   To fight, quarrel, dispute, brawl ; To fight, struggle ; 1. To brawl, fight, argue. 2. To strive, exert ; 1. To fight. 2. To balance a budget ;
'thab	 verb-fut 	'thab	Transitive:  Voluntary:   To fight, quarrel, dispute, brawl ; To fight, struggle ; 1. To brawl, fight, argue. 2. To strive, exert ; 1. To fight. 2. To balance a budget ;
'tham	 verb-pres 	'tham	Intransitive:  Involuntary:   1. To seize, to lay hold of, to clutch, to attach oneself to, to realize mentally. 2. To join together, enlock ;  1. To grasp, hold tightly. 2. To shut, close ; 1. To hug, embrace. 2. To grasp tightly with the hand. 3. To close tightly, not to open once closed ; Compare 'thems
'thams	 verb-past 	'tham	Intransitive:  Involuntary:   1. To seize, to lay hold of, to clutch, to attach oneself to, to realize mentally. 2. To join together, enlock ;  1. To grasp, hold tightly. 2. To shut, close ; 1. To hug, embrace. 2. To grasp tightly with the hand. 3. To close tightly, not to open once closed ; Compare 'thems
'tham	 verb-fut 	'tham	Intransitive:  Involuntary:   1. To seize, to lay hold of, to clutch, to attach oneself to, to realize mentally. 2. To join together, enlock ;  1. To grasp, hold tightly. 2. To shut, close ; 1. To hug, embrace. 2. To grasp tightly with the hand. 3. To close tightly, not to open once closed ; Compare 'thems
'thams	 verb-pres 	'thams	   (archaic) 1. To love, be kind. 2. To not finish, conclude. 3. To blame, scold ;
	 verb-past 	'thams	   (archaic) 1. To love, be kind. 2. To not finish, conclude. 3. To blame, scold ;
	 verb-fut 	'thams	   (archaic) 1. To love, be kind. 2. To not finish, conclude. 3. To blame, scold ;
'thas	 verb-pres 	'thas	   Probably a verbal use of the adjective ;
'thas	 verb-past 	'thas	   Probably a verbal use of the adjective ;
	 verb-fut 	'thas	   Probably a verbal use of the adjective ;
'thig	 verb-pres 	'thig	Transitive:    To cause to fall in drops, to distill (Jä) ;
btigs	 verb-past 	'thig	Transitive:    To cause to fall in drops, to distill (Jä) ;
btig	 verb-fut 	'thig	Transitive:    To cause to fall in drops, to distill (Jä) ;
'thig	 verb-pres 	'thig	Intransitive:  Involuntary:    To fall in drops, to drip from ; To leak through ; (for droplets of water) To fall down ; Compare thigs
'thigs	 verb-past 	'thig	Intransitive:  Involuntary:    To fall in drops, to drip from ; To leak through ; (for droplets of water) To fall down ; Compare thigs
'thig	 verb-fut 	'thig	Intransitive:  Involuntary:    To fall in drops, to drip from ; To leak through ; (for droplets of water) To fall down ; Compare thigs
'thib	 verb-pres 	'thib	Intransitive:  Involuntary:   To be covered, darkened ; To be cloudy, gloomy ; To thicken, roll in (of clouds and smoke) ; To thicken, obscure ;
'thibs	 verb-past 	'thib	Intransitive:  Involuntary:   To be covered, darkened ; To be cloudy, gloomy ; To thicken, roll in (of clouds and smoke) ; To thicken, obscure ;
'thib	 verb-fut 	'thib	Intransitive:  Involuntary:   To be covered, darkened ; To be cloudy, gloomy ; To thicken, roll in (of clouds and smoke) ; To thicken, obscure ;
thim	 verb-pres 	'thim	Intransitive:  Involuntary:   (with ; To merge into ; To mix into an un-differentiable essence ; To sink, dissolve, vanish ;
thim	 verb-past 	'thim	Intransitive:  Involuntary:   (with ; To merge into ; To mix into an un-differentiable essence ; To sink, dissolve, vanish ;
'thim	 verb-fut 	'thim	Intransitive:  Involuntary:   (with ; To merge into ; To mix into an un-differentiable essence ; To sink, dissolve, vanish ;
'thu	 verb-pres 	'thu	Transitive: Voluntary:   To gather, collect, pick up ; To collect, pick up, to collect wood for fuel ; To gather collect ;{:tag :ref, :attrs nil, :content ["TC"]}
'thus	 verb-past 	'thu	Transitive: Voluntary:   To gather, collect, pick up ; To collect, pick up, to collect wood for fuel ; To gather collect ;{:tag :ref, :attrs nil, :content ["TC"]}
'thu	 verb-fut 	'thu	Transitive: Voluntary:   To gather, collect, pick up ; To collect, pick up, to collect wood for fuel ; To gather collect ;{:tag :ref, :attrs nil, :content ["TC"]}
'thu	 verb-pres 	'thu	   To be included ;
'thus	 verb-past 	'thu	   To be included ;
gdu	 verb-fut 	'thu	   To be included ;
sdus	 verb-pres 	'thu	Transitive:  Voluntary:   To gather, collect, pick up ; To group, to collect, to pick up ; To bring together in one place a thing laying in pieces ; 1. To gather, collect. 2. To gather, assemble ;{:tag :ref, :attrs nil, :content ["TC"]}
btus	 verb-past 	'thu	Transitive:  Voluntary:   To gather, collect, pick up ; To group, to collect, to pick up ; To bring together in one place a thing laying in pieces ; 1. To gather, collect. 2. To gather, assemble ;{:tag :ref, :attrs nil, :content ["TC"]}
btu	 verb-fut 	'thu	Transitive:  Voluntary:   To gather, collect, pick up ; To group, to collect, to pick up ; To bring together in one place a thing laying in pieces ; 1. To gather, collect. 2. To gather, assemble ;{:tag :ref, :attrs nil, :content ["TC"]}
'thung	 verb-pres 	'thung	Transitive:  Voluntary:   To drink, to imbibe fluid ; To drink ; To imbibe liquid in the mouth ; [To drink] ;
'thungs	 verb-past 	'thung	Transitive:  Voluntary:   To drink, to imbibe fluid ; To drink ; To imbibe liquid in the mouth ; [To drink] ;
btung	 verb-fut 	'thung	Transitive:  Voluntary:   To drink, to imbibe fluid ; To drink ; To imbibe liquid in the mouth ; [To drink] ;
'thub	 verb-pres 	'thub	 Voluntary:   To cut into pieces, to split ; To hew, chop, cut to pieces ; Compare gtub
btubs	 verb-past 	'thub	 Voluntary:   To cut into pieces, to split ; To hew, chop, cut to pieces ; Compare gtub
gtub	 verb-fut 	'thub	 Voluntary:   To cut into pieces, to split ; To hew, chop, cut to pieces ; Compare gtub
'thum	 verb-pres 	'thum	Intransitive:  Involuntary:   To cover, lay over, put over, wrap up, envelop ; To be covered ; To be cognitively unclear ; 1. To have difficulty breathing. 2. To be mentally unclear ;
'thums	 verb-past 	'thum	Intransitive:  Involuntary:   To cover, lay over, put over, wrap up, envelop ; To be covered ; To be cognitively unclear ; 1. To have difficulty breathing. 2. To be mentally unclear ;
'thum	 verb-fut 	'thum	Intransitive:  Involuntary:   To cover, lay over, put over, wrap up, envelop ; To be covered ; To be cognitively unclear ; 1. To have difficulty breathing. 2. To be mentally unclear ;
gtum	 verb-pres 	'thum	Transitive: Voluntary:   To wrap round, wrap up, envelope, veil, cover ; To cover, lay over, put over, coat, wrap up, envelop ; To warp in, to cover ;  1. To put a cover on the outside of something. 2. To be similar to covering with an outer cover (e.g. a mountaintop with mist) ; To wrap, wrap up ;
gtums	 verb-past 	'thum	Transitive: Voluntary:   To wrap round, wrap up, envelope, veil, cover ; To cover, lay over, put over, coat, wrap up, envelop ; To warp in, to cover ;  1. To put a cover on the outside of something. 2. To be similar to covering with an outer cover (e.g. a mountaintop with mist) ; To wrap, wrap up ;
gtum	 verb-fut 	'thum	Transitive: Voluntary:   To wrap round, wrap up, envelope, veil, cover ; To cover, lay over, put over, coat, wrap up, envelop ; To warp in, to cover ;  1. To put a cover on the outside of something. 2. To be similar to covering with an outer cover (e.g. a mountaintop with mist) ; To wrap, wrap up ;
'thul	 verb-pres 	'thul	Intransitive:  Involuntary:   To raise, to spread, to smell of ; 1. To be fumigated. 2. To be tamed ; Once tamed, to act appropriately ; To emerge, arise, occur (of smoke or smell) ; Compare gtul
btul(d)	 verb-past 	'thul	Intransitive:  Involuntary:   To raise, to spread, to smell of ; 1. To be fumigated. 2. To be tamed ; Once tamed, to act appropriately ; To emerge, arise, occur (of smoke or smell) ; Compare gtul
gtul	 verb-fut 	'thul	Intransitive:  Involuntary:   To raise, to spread, to smell of ; 1. To be fumigated. 2. To be tamed ; Once tamed, to act appropriately ; To emerge, arise, occur (of smoke or smell) ; Compare gtul
'thus	 verb-pres 	'thus	Intransitive:  Involuntary:   To be permissible, to be right ; To be capable, able, sufficient, effective ; To be able permissible, all right ;
'thus	 verb-past 	'thus	Intransitive:  Involuntary:   To be permissible, to be right ; To be capable, able, sufficient, effective ; To be able permissible, all right ;
'thus	 verb-fut 	'thus	Intransitive:  Involuntary:   To be permissible, to be right ; To be capable, able, sufficient, effective ; To be able permissible, all right ;
'theng	 verb-pres 	'theng	Intransitive:  Involuntary:   To be lame, to go lame ; For feet and hands to go lame ; To be crippled, to be lame ;
'theng	 verb-past 	'theng	Intransitive:  Involuntary:   To be lame, to go lame ; For feet and hands to go lame ; To be crippled, to be lame ;
'theng	 verb-fut 	'theng	Intransitive:  Involuntary:   To be lame, to go lame ; For feet and hands to go lame ; To be crippled, to be lame ;
'then	 verb-pres 	'then	Transitive:  Voluntary:   1. To draw, to pull. 2. To stop, to stop short, to halt (Jä). 3. (in West) To lean, recline upon ; To pull, draw, delay, reduce, derogate ; 1. To inhale. 2. To take, take out. 3. To pull, to drag. ; 4. To fall in rank. 5. To collect, draw together. 6. To recite, sing ; To pull, draw, lead. 2. To asses taxes. 3. To take longer, to prolong. 4. To inhale ;
'then	 verb-past 	'then	Transitive:  Voluntary:   1. To draw, to pull. 2. To stop, to stop short, to halt (Jä). 3. (in West) To lean, recline upon ; To pull, draw, delay, reduce, derogate ; 1. To inhale. 2. To take, take out. 3. To pull, to drag. ; 4. To fall in rank. 5. To collect, draw together. 6. To recite, sing ; To pull, draw, lead. 2. To asses taxes. 3. To take longer, to prolong. 4. To inhale ;
'then	 verb-fut 	'then	Transitive:  Voluntary:   1. To draw, to pull. 2. To stop, to stop short, to halt (Jä). 3. (in West) To lean, recline upon ; To pull, draw, delay, reduce, derogate ; 1. To inhale. 2. To take, take out. 3. To pull, to drag. ; 4. To fall in rank. 5. To collect, draw together. 6. To recite, sing ; To pull, draw, lead. 2. To asses taxes. 3. To take longer, to prolong. 4. To inhale ;
'thems	 verb-pres 	'thems	Intransitive:  Involuntary:   1. To shut in, comprise, cover, include. 2. To suffice ; 1. To be full, complete. 2. (in West) To be sufficient, enough (Jä) ; To be completed, to be filled, to be careful ; To be tight, compact (of flesh and bone &c.) ; To be complete ; Compare 'tham
them	 verb-past 	'thems	Intransitive:  Involuntary:   1. To shut in, comprise, cover, include. 2. To suffice ; 1. To be full, complete. 2. (in West) To be sufficient, enough (Jä) ; To be completed, to be filled, to be careful ; To be tight, compact (of flesh and bone &c.) ; To be complete ; Compare 'tham
'them	 verb-fut 	'thems	Intransitive:  Involuntary:   1. To shut in, comprise, cover, include. 2. To suffice ; 1. To be full, complete. 2. (in West) To be sufficient, enough (Jä) ; To be completed, to be filled, to be careful ; To be tight, compact (of flesh and bone &c.) ; To be complete ; Compare 'tham
'thog	 verb-pres 	'thog	Transitive:  Voluntary:   1. To pick, pluck (a fruit, flower &c.). 2. To depilate. 3. To peck (with the beak of a bird) ; To cut, remove with the hand, to pluck, pick ; Compare the syllable tog
btogs	 verb-past 	'thog	Transitive:  Voluntary:   1. To pick, pluck (a fruit, flower &c.). 2. To depilate. 3. To peck (with the beak of a bird) ; To cut, remove with the hand, to pluck, pick ; Compare the syllable tog
btog	 verb-fut 	'thog	Transitive:  Voluntary:   1. To pick, pluck (a fruit, flower &c.). 2. To depilate. 3. To peck (with the beak of a bird) ; To cut, remove with the hand, to pluck, pick ; Compare the syllable tog
'thon	 verb-pres 	'thon	Intransitive:  Involuntary:   1. To go out, come forth. 2. (in West, colloquial) To come, to arise. 3. To occur (Jä) ; To go out, to come forth ; 1. To come out from within. 2. To arrive. 3. To achieve, success ;
thon(d)	 verb-past 	'thon	Intransitive:  Involuntary:   1. To go out, come forth. 2. (in West, colloquial) To come, to arise. 3. To occur (Jä) ; To go out, to come forth ; 1. To come out from within. 2. To arrive. 3. To achieve, success ;
thon	 verb-fut 	'thon	Intransitive:  Involuntary:   1. To go out, come forth. 2. (in West, colloquial) To come, to arise. 3. To occur (Jä) ; To go out, to come forth ; 1. To come out from within. 2. To arrive. 3. To achieve, success ;
'thon	 verb-pres 	'thon	Intransitive:  Involuntary:   1. To depart. 2. (in West, colloquial) To come, to arise. 3. To occur (Jä) ;  1. To arrive. 3. To achieve, success ; 1. To go. 2. To appear, arise. 3. To dawn, rise. 4. To arrive ;
thon	 verb-past 	'thon	Intransitive:  Involuntary:   1. To depart. 2. (in West, colloquial) To come, to arise. 3. To occur (Jä) ;  1. To arrive. 3. To achieve, success ; 1. To go. 2. To appear, arise. 3. To dawn, rise. 4. To arrive ;
'thon	 verb-fut 	'thon	Intransitive:  Involuntary:   1. To depart. 2. (in West, colloquial) To come, to arise. 3. To occur (Jä) ;  1. To arrive. 3. To achieve, success ; 1. To go. 2. To appear, arise. 3. To dawn, rise. 4. To arrive ;
'thob	 verb-pres 	'thob	Intransitive:  Involuntary:   1. To find, get, obtain (especially in West and Sikkim unacceptable in classical). 2. To get, obtain, procure, receive (in classical). 3. To become ; To obtain, get ; 1. To come in hand. 2. To take, seize. 3. To be worthy, suitable, conform to, comply with ; To find ;
thob	 verb-past 	'thob	Intransitive:  Involuntary:   1. To find, get, obtain (especially in West and Sikkim unacceptable in classical). 2. To get, obtain, procure, receive (in classical). 3. To become ; To obtain, get ; 1. To come in hand. 2. To take, seize. 3. To be worthy, suitable, conform to, comply with ; To find ;
thob	 verb-fut 	'thob	Intransitive:  Involuntary:   1. To find, get, obtain (especially in West and Sikkim unacceptable in classical). 2. To get, obtain, procure, receive (in classical). 3. To become ; To obtain, get ; 1. To come in hand. 2. To take, seize. 3. To be worthy, suitable, conform to, comply with ; To find ;
'thom	 verb-pres 	'thom	Intransitive:  Involuntary:   1. To be confused, puzzled, to grope, to be stunned. 2. (in West) To doze, slumber (Jä) ; To be bewildered, be confused, to be puzzled ; To be confused, ignorant concerning things ; To be confused ;
'thoms	 verb-past 	'thom	Intransitive:  Involuntary:   1. To be confused, puzzled, to grope, to be stunned. 2. (in West) To doze, slumber (Jä) ; To be bewildered, be confused, to be puzzled ; To be confused, ignorant concerning things ; To be confused ;
'thom	 verb-fut 	'thom	Intransitive:  Involuntary:   1. To be confused, puzzled, to grope, to be stunned. 2. (in West) To doze, slumber (Jä) ; To be bewildered, be confused, to be puzzled ; To be confused, ignorant concerning things ; To be confused ;
'thor(d)	 verb-pres 	'thor	Transitive:  Voluntary:   1. To be strewn, scattered. 2. To be dispersed, desiccated, burst (of a gun) ; 1 To scatter, strew, spread over (MoÑ). 2. To cast, throw, throw out ; To spread over, strew, scatter ; To spread out, separate individually. 2. To throw to the ground ; To scatter, throw in small bits. 2. To tear apart, destroy ; Compare stor
thor(d)	 verb-past 	'thor	Transitive:  Voluntary:   1. To be strewn, scattered. 2. To be dispersed, desiccated, burst (of a gun) ; 1 To scatter, strew, spread over (MoÑ). 2. To cast, throw, throw out ; To spread over, strew, scatter ; To spread out, separate individually. 2. To throw to the ground ; To scatter, throw in small bits. 2. To tear apart, destroy ; Compare stor
gtor	 verb-fut 	'thor	Transitive:  Voluntary:   1. To be strewn, scattered. 2. To be dispersed, desiccated, burst (of a gun) ; 1 To scatter, strew, spread over (MoÑ). 2. To cast, throw, throw out ; To spread over, strew, scatter ; To spread out, separate individually. 2. To throw to the ground ; To scatter, throw in small bits. 2. To tear apart, destroy ; Compare stor
'thor	 verb-pres 	'thor	Intransitive:  Involuntary:   To be separated, scattered ; 1. To be individually separated. 2. For something to fall down ; To fragment, become pieces, go in sundry directions ; Compare stor
thor	 verb-past 	'thor	Intransitive:  Involuntary:   To be separated, scattered ; 1. To be individually separated. 2. For something to fall down ; To fragment, become pieces, go in sundry directions ; Compare stor
'thor	 verb-fut 	'thor	Intransitive:  Involuntary:   To be separated, scattered ; 1. To be individually separated. 2. For something to fall down ; To fragment, become pieces, go in sundry directions ; Compare stor
dwangs	 verb-pres 	dwangs	Intransitive:  Involuntary:   To be clear, to become clear, to awake to ; To get rid of (filth, darkness &c.) ; To clean, clear away ; To heal, recover ;
dwangs	 verb-past 	dwangs	Intransitive:  Involuntary:   To be clear, to become clear, to awake to ; To get rid of (filth, darkness &c.) ; To clean, clear away ; To heal, recover ;
dwangs	 verb-fut 	dwangs	Intransitive:  Involuntary:   To be clear, to become clear, to awake to ; To get rid of (filth, darkness &c.) ; To clean, clear away ; To heal, recover ;
dad	 verb-pres 	dad	Intransitive:  Involuntary:   To believe, to have faith ; To have faith, to have interest in, to long for ; For earnest desire or delight to arise ; 1. To believe faithfully. 2. To be happy, to love, be fond of, to crave ; (Jä) suggests a relationship with 'dod
dad	 verb-past 	dad	Intransitive:  Involuntary:   To believe, to have faith ; To have faith, to have interest in, to long for ; For earnest desire or delight to arise ; 1. To believe faithfully. 2. To be happy, to love, be fond of, to crave ; (Jä) suggests a relationship with 'dod
dad	 verb-fut 	dad	Intransitive:  Involuntary:   To believe, to have faith ; To have faith, to have interest in, to long for ; For earnest desire or delight to arise ; 1. To believe faithfully. 2. To be happy, to love, be fond of, to crave ; (Jä) suggests a relationship with 'dod
dar	 verb-pres 	dar	Intransitive:  Involuntary:   To be diffused, grown up, to spread ; To become popular, to become common, to spread out, to be increased ; 1. To grow, increase upward. 2. To have a good coat, a good sheen, to grow fat, to put on flesh (for animals) ; To grow, make larger ;
dar	 verb-past 	dar	Intransitive:  Involuntary:   To be diffused, grown up, to spread ; To become popular, to become common, to spread out, to be increased ; 1. To grow, increase upward. 2. To have a good coat, a good sheen, to grow fat, to put on flesh (for animals) ; To grow, make larger ;
dar	 verb-fut 	dar	Intransitive:  Involuntary:   To be diffused, grown up, to spread ; To become popular, to become common, to spread out, to be increased ; 1. To grow, increase upward. 2. To have a good coat, a good sheen, to grow fat, to put on flesh (for animals) ; To grow, make larger ;
dugs	 verb-pres 	dugs	Transitive:    1. To make warm, to warm. 2. To light, to kindle (Jä) ; To alternate between hot and cold things on the body in order to cure some diseases ;
dugs	 verb-past 	dugs	Transitive:    1. To make warm, to warm. 2. To light, to kindle (Jä) ; To alternate between hot and cold things on the body in order to cure some diseases ;
dugs	 verb-fut 	dugs	Transitive:    1. To make warm, to warm. 2. To light, to kindle (Jä) ; To alternate between hot and cold things on the body in order to cure some diseases ;
dung	 verb-pres 	dung	Intransitive:    To become clear, clean ;
dung	 verb-past 	dung	Intransitive:    To become clear, clean ;
dung	 verb-fut 	dung	Intransitive:    To become clear, clean ;
dungs	 verb-pres 	dungs	Intransitive:  Involuntary:   To love, be fond of ; To cling to, carve, desire ;
gdungs	 verb-past 	dungs	Intransitive:  Involuntary:   To love, be fond of ; To cling to, carve, desire ;
gdung	 verb-fut 	dungs	Intransitive:  Involuntary:   To love, be fond of ; To cling to, carve, desire ;
dud	 verb-pres 	dud	Intransitive:  Involuntary:   To stoop, to bend ; To hang down, to bend down, to be suspended from ; To bend down ;
dud	 verb-past 	dud	Intransitive:  Involuntary:   To stoop, to bend ; To hang down, to bend down, to be suspended from ; To bend down ;
'dud	 verb-fut 	dud	Intransitive:  Involuntary:   To stoop, to bend ; To hang down, to bend down, to be suspended from ; To bend down ;
dud	 verb-pres 	dud	   To tie, to knit ;{:tag :ref, :attrs nil, :content ["(Stein 1942: 205)"]}
	 verb-past 	dud	   To tie, to knit ;{:tag :ref, :attrs nil, :content ["(Stein 1942: 205)"]}
	 verb-fut 	dud	   To tie, to knit ;{:tag :ref, :attrs nil, :content ["(Stein 1942: 205)"]}
dub	 verb-pres 	dub	Intransitive:  Involuntary:   To be fatigued, to be tired ; To be warn out, tired (in body, mind) ;
dub	 verb-past 	dub	Intransitive:  Involuntary:   To be fatigued, to be tired ; To be warn out, tired (in body, mind) ;
dub	 verb-fut 	dub	Intransitive:  Involuntary:   To be fatigued, to be tired ; To be warn out, tired (in body, mind) ;
dur	 verb-pres 	dur	   To dispose of the dead, to keep a dead body ; To keep a dead body, to bury, to eat ;
dur(d)	 verb-past 	dur	   To dispose of the dead, to keep a dead body ; To keep a dead body, to bury, to eat ;
dur	 verb-fut 	dur	   To dispose of the dead, to keep a dead body ; To keep a dead body, to bury, to eat ;
dul	 verb-pres 	dul	 Involuntary:  To become peaceful, to be tamed, make peaceful minded, to sober ;
dul(d)	 verb-past 	dul	 Involuntary:  To become peaceful, to be tamed, make peaceful minded, to sober ;
dul	 verb-fut 	dul	 Involuntary:  To become peaceful, to be tamed, make peaceful minded, to sober ;
ded	 verb-pres 	ded	Transitive:    To travel towards a goal, after looking at a path, road marker ;
ded	 verb-past 	ded	Transitive:    To travel towards a goal, after looking at a path, road marker ;
ded	 verb-fut 	ded	Transitive:    To travel towards a goal, after looking at a path, road marker ;
do	 verb-pres 	do	Intransitive: Involuntary:   To be able ;
do	 verb-past 	do	Intransitive: Involuntary:   To be able ;
do	 verb-fut 	do	Intransitive: Involuntary:   To be able ;
dogs	 verb-pres 	dogs	Intransitive:  Involuntary:   To fear, dread, apprehend ; To doubt, to be uncertain, to be afraid of ; To examine, avoid ; To doubt ;
dwogs	 verb-past 	dogs	Intransitive:  Involuntary:   To fear, dread, apprehend ; To doubt, to be uncertain, to be afraid of ; To examine, avoid ; To doubt ;
dwogs	 verb-fut 	dogs	Intransitive:  Involuntary:   To fear, dread, apprehend ; To doubt, to be uncertain, to be afraid of ; To examine, avoid ; To doubt ;
dod	 verb-pres 	dod	Intransitive:  Involuntary:   (often with ; To jut out ; To stick out (like a form, design) ;
dod	 verb-past 	dod	Intransitive:  Involuntary:   (often with ; To jut out ; To stick out (like a form, design) ;
dod	 verb-fut 	dod	Intransitive:  Involuntary:   (often with ; To jut out ; To stick out (like a form, design) ;
don	 verb-pres 	don	 Voluntary:   To come out ; To leave, depart ;1. To get out, be away from, cross (a river). 2. To pretend. 3. To play (a role);
don(d)	 verb-past 	don	 Voluntary:   To come out ; To leave, depart ;1. To get out, be away from, cross (a river). 2. To pretend. 3. To play (a role);
don	 verb-fut 	don	 Voluntary:   To come out ; To leave, depart ;1. To get out, be away from, cross (a river). 2. To pretend. 3. To play (a role);
don	 verb-pres 	don	 Involuntary:   1. To come out, emerge. 2. To have a boil. 3. To excrete, perspire, transpire. 4. To reach a state, condition, be destroyed, found. 5. To be published. 6. To get elected ;
don	 verb-past 	don	 Involuntary:   1. To come out, emerge. 2. To have a boil. 3. To excrete, perspire, transpire. 4. To reach a state, condition, be destroyed, found. 5. To be published. 6. To get elected ;
	 verb-fut 	don	 Involuntary:   1. To come out, emerge. 2. To have a boil. 3. To excrete, perspire, transpire. 4. To reach a state, condition, be destroyed, found. 5. To be published. 6. To get elected ;
drag	 verb-pres 	drag	Intransitive:  Involuntary:   To recover from illness, to become better ; 1. To recover from illness. 2. (dialect) To be without harm, without defect ; To be clear of illness ;
drags	 verb-past 	drag	Intransitive:  Involuntary:   To recover from illness, to become better ; 1. To recover from illness. 2. (dialect) To be without harm, without defect ; To be clear of illness ;
drag	 verb-fut 	drag	Intransitive:  Involuntary:   To recover from illness, to become better ; 1. To recover from illness. 2. (dialect) To be without harm, without defect ; To be clear of illness ;
	 verb-pres 	drags	  
	 verb-past 	drags	  
	 verb-fut 	drags	  
dran	 verb-pres 	dran	Transitive:  Voluntary:   1. To think, ponder. 2. (with ; To remember, recollect, to think of, to ponder ; 1. For an earlier affair to come to mind again. 2. For an affair to come to mind. 3. To love, be affectionate toward ; To not forget, to turn again and again in the mind ;
dran(d)	 verb-past 	dran	Transitive:  Voluntary:   1. To think, ponder. 2. (with ; To remember, recollect, to think of, to ponder ; 1. For an earlier affair to come to mind again. 2. For an affair to come to mind. 3. To love, be affectionate toward ; To not forget, to turn again and again in the mind ;
dran	 verb-fut 	dran	Transitive:  Voluntary:   1. To think, ponder. 2. (with ; To remember, recollect, to think of, to ponder ; 1. For an earlier affair to come to mind again. 2. For an affair to come to mind. 3. To love, be affectionate toward ; To not forget, to turn again and again in the mind ;
dregs	 verb-pres 	dregs	Intransitive: Involuntary:   To be self-satisfied, to be haughty, to pride ; To be full, bloated ;
dregs	 verb-past 	dregs	Intransitive: Involuntary:   To be self-satisfied, to be haughty, to pride ; To be full, bloated ;
dregs	 verb-fut 	dregs	Intransitive: Involuntary:   To be self-satisfied, to be haughty, to pride ; To be full, bloated ;
dred	 verb-pres 	dred	Intransitive:    To not avoid, to not be suspicious ;
dred	 verb-past 	dred	Intransitive:    To not avoid, to not be suspicious ;
dred	 verb-fut 	dred	Intransitive:    To not avoid, to not be suspicious ;
dro	 verb-pres 	dro	Intransitive:  Involuntary:   To be warm ; To heat up, warm because of sunlight, fire &c. ; To be hot ;
dros	 verb-past 	dro	Intransitive:  Involuntary:   To be warm ; To heat up, warm because of sunlight, fire &c. ; To be hot ;
